group_1,group_2,taxon,Spez_001_AG,Spez_002_AG,Spez_003_AG,Spez_004_AG,Spez_005_AG,Spez_006_AG,Spez_007_AG,Spez_008_AI,Spez_009_AI,Spez_010_AR,Spez_011_AR,Spez_012_BE,Spez_013_BE,Spez_014_BE,Spez_015_BE,Spez_016_BE,Spez_017_BE,Spez_018_BE,Spez_019_BE,Spez_020_BE,Spez_021_BE,Spez_022_BE,Spez_023_BE,Spez_024_BL,Spez_025_BL,Spez_026_BS,Spez_027_FR,Spez_028_FR,Spez_029_FR,Spez_030_VD,Spez_031_FR,Spez_032_FR ,Spez_033_FR,Spez_034_GE,Spez_035_GE,Spez_036_GL,Spez_037_GL,Spez_038_GR,Spez_039_GR,Spez_040_GR,Spez_041_GR,Spez_042_GR,Spez_043_JU,Spez_044_JU,Spez_045_JU,Spez_046_LU,Spez_047_LU,Spez_048_LU,Spez_049_LU,Spez_050_LU,Spez_051_LU,Spez_052_NE,Spez_053_NE,Spez_054_NW,Spez_055_OW,Spez_056_OW,Spez_057_SG,Spez_058_SG,Spez_059_SG,Spez_060_SG,Spez_061_SG,Spez_062_SH,Spez_063_SH,Spez_064_SH,Spez_065_SO,Spez_066_SO,Spez_067_SO,Spez_068_SZ,Spez_069_SZ,Spez_070_TG,Spez_071_TG,Spez_072_TG,Spez_073_TG,Spez_074_TI,Spez_075_TI,Spez_076_TI,Spez_077_TI,Spez_078_UR,Spez_079_UR,Spez_080_VD,Spez_081_VD,Spez_082_VD,Spez_083_VD,Spez_084_VD,Spez_085_VD,Spez_086_VD,Spez_087_VD,Spez_088_VS,Spez_089_VS,Spez_090_VS,Spez_091_VS,Spez_092_VS,Spez_093_ZG,Spez_094_ZG,Spez_095_ZH,Spez_096_ZH,Spez_097_ZH,Spez_098_ZH,Spez_099_ZH,Spez_100_ZH
PORIFERA,PORIFERA,PORIFERA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNIDARIA,CNIDARIA,CNIDARIA,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,10,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,4,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0
BRYOZOA,BRYOZOA,BRYOZOA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLATYHELMINTHES,PLATYHELMINTHES,Dendrocoelidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLATYHELMINTHES,PLATYHELMINTHES,Dugesiidae,0,2,6,2,0,0,28,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,52,0,0,0,10,0,0,0,6,0,1,0,0,0,0,0,0,1,18,0,0,0,14,0,0,7,2,0,0,0,0,0,2,0,0,0,3,8,24,0,16,14,15,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,11,0,0,0,0,0,2,0,0,1,0,0,2,0
PLATYHELMINTHES,PLATYHELMINTHES,Planariidae,0,0,2,0,0,0,0,0,0,5,0,0,21,16,0,0,70,0,0,30,2,2,7,0,0,0,0,1,13,0,0,5,0,0,0,0,0,50,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,4,220,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,1,0,0,1,0,7,0,0,6,0,9,0,0,0,0,0,0,0
NEMATHELMINTHES,NEMATHELMINTHES,NEMATHELMINTHES,1,0,0,1,3,0,0,0,0,3,1,1,1,1,0,0,5,0,0,1,2,1,4,0,1,0,0,1,6,2,0,0,1,0,0,0,0,0,0,0,0,0,2,2,6,0,6,3,4,2,10,20,5,0,1,0,2,0,10,0,0,0,0,0,0,0,17,1,0,0,0,3,2,0,0,0,5,0,0,0,1,0,4,6,0,1,0,0,0,3,0,0,0,0,0,5,4,0,14,0
ANNELIDA,Hirudinea,Erpobdellidae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,15,8,0,0,2,21,0,0,0,0,0,0,0,5,0,1,0,0,5,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
ANNELIDA,Hirudinea,Glossiphoniidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,6,12,0,1,14,14,0,9,0,0,0,0,0,0,2,1,0,0,27,0,0,0,0,0,12,0,0,0,0,0,0,19,0,0,3,0,0,0,0,0,0,0,0,0
ANNELIDA,Hirudinea,Hirudidae (Tachet),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANNELIDA,Hirudinea,Piscicolidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANNELIDA,Oligochaeta,Oligochaeta,81,306,29,85,9,5,64,17,18,62,7,6,10,180,30,113,129,200,70,15,4,2,19,40,646,7,14,125,120,28,20,65,35,184,10,4,0,0,0,9,0,0,606,147,9,168,75,94,350,36,340,877,104,11,310,31,820,42,75,1,60,140,6,53,105,13,98,9,116,11,2,12,23,3,15,1,9,15,5,11,55,145,24,110,31,105,5,590,47,2,150,150,154,96,0,65,60,3,250,35
MOLLUSCA,Gastropoda,Acroloxidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOLLUSCA,Gastropoda,Ancylidae (Tachet),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0
MOLLUSCA,Gastropoda,Bithyniidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
MOLLUSCA,Gastropoda,Ferrissiidae (Tachet),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOLLUSCA,Gastropoda,Hydrobiidae,4,6,0,2,2,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,1,159,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0,0,5,0,0,0,23,0,0,1,0,0,0,0,2,0,0,0,0,0,39,0,0,0,0,14,1,0,400,0,0,0,0,0,0,0,0,2,0,0,0,8,0,14,0
MOLLUSCA,Gastropoda,Lymnaeidae,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,4,5,0,8,0,0,0,1,79,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,7,0,0,16,0,0,4,0,0,6,0,0,38,34,11,0,0,3,4,0,0,10,85,0,26,8,0,0,5,0,0,0,15,0,0,0,1,0,0,0,0,7,0,0,1,10,0,1,160,0,0,0,0,3,0,0,31,3,2,0,0
MOLLUSCA,Gastropoda,Neritidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOLLUSCA,Gastropoda,Physidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,99,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0
MOLLUSCA,Gastropoda,Planorbidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
MOLLUSCA,Gastropoda,Valvatidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOLLUSCA,Gastropoda,Viviparidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOLLUSCA,Bivalvia,Corbiculidae*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOLLUSCA,Bivalvia,Dreissenidae*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOLLUSCA,Bivalvia,Sphaeriidae,6,5,5,0,0,0,7,0,0,0,0,0,25,12,1,21,29,6,30,0,2,0,5,73,0,36,1,70,18,4,8,4,5,53,3,1,0,0,0,0,0,0,229,16,0,1,1,0,1,4,5,14,3,0,2,5,19,150,59,0,420,39,0,4,3,5,1,8,0,6,7,0,0,0,0,2,3,0,0,1,220,120,14,25,3,9,0,5,0,0,0,17,3,0,0,6,0,2,62,2
MOLLUSCA,Bivalvia,Unionidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Arachnida (Inf.-Cl.) Acari,Hydracarina,13,20,1,14,6,8,53,0,3,17,0,17,8,6,0,37,10,2,41,0,1,2,33,7,24,2,0,8,18,21,0,65,2,0,0,37,0,0,1,0,26,0,22,201,141,10,10,73,31,65,17,135,24,3,14,25,16,150,9,37,0,87,2,61,1,9,8,50,68,7,0,18,1,5,6,3,11,1,0,0,2,0,0,0,64,0,7,11,1,0,0,1,164,24,0,50,110,0,90,0
ARTHROPODA,Branchiopoda,Branchiopoda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Amphipoda,Corophiidae*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Amphipoda,Gammaridae,414,648,3750,31,132,540,168,31,7,3500,19,13,2360,735,289,675,4791,47,220,1097,24,0,1768,51,143,2050,292,245,1200,169,80,120,1325,204,101,1912,0,0,0,2,0,0,1476,2016,710,44,23,121,126,160,2,1916,2348,120,25,9,360,800,1100,207,2760,10,682,289,2044,1089,1136,1750,1,1,101,3,318,0,0,0,1373,922,0,2220,0,510,555,522,290,550,0,125,6,0,0,113,528,0,0,4,80,0,70,700
ARTHROPODA,Amphipoda,Niphargidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Isopoda,Asellidae,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1000,0,0,0,0,0,66,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,72,0,0,8,0,4,0,0,3,369,2,0,0,0,1065,104,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,45,28,20,0,0,0,210,0,0,0,1,1,0,90,1,1,1,0,0,0,0,0,0,0,20,0
ARTHROPODA,Isopoda,Janiridae*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Mysida,Mysidae*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Decapoda,Astacidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Decapoda,Cambaridae*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Ephemeroptera,Ameletidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Ephemeroptera,Baetidae ,1482,9,121,34,1020,850,120,98,233,426,486,1231,55,800,175,230,183,50,411,42,75,311,425,268,33,4,29,118,330,140,1457,229,420,0,5,96,0,5,284,60,585,70,139,385,834,19,1692,151,605,1314,85,1437,411,31,588,158,71,548,1210,824,0,1403,114,33,15,218,1143,1225,186,0,0,94,10,20,27,179,22,49,471,80,0,190,390,310,70,16,863,121,4,343,142,143,17,330,0,290,630,8,23,16
ARTHROPODA,Ephemeroptera,Caenidae,0,0,0,0,0,0,0,14,17,0,9,0,0,1,0,0,0,0,0,0,29,0,0,0,0,0,0,0,1,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,76,0,0,0,0,0,361,0,0,0,0,2,0,357,0,0,0,3,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,40,1,0,1,0
ARTHROPODA,Ephemeroptera,Ephemerellidae,82,1,0,1,3,53,1,33,10,0,30,0,0,203,21,108,0,0,35,0,56,0,15,0,7,0,0,6,59,238,152,35,11,0,0,25,0,0,0,0,0,0,1,29,65,15,50,4,140,78,9,0,0,6,300,4,1,0,103,3,0,8,0,1,0,0,56,62,153,0,0,6,1,29,0,14,14,19,0,0,0,0,0,0,8,0,19,0,0,0,0,0,21,8,0,33,3,0,21,14
ARTHROPODA,Ephemeroptera,Ephemeridae,5,16,2,2,2,0,25,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,7,2,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,81,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,21,3,0,5,5
