group_1,group_2,taxon,CH_002_BS,CH_007_BE,CH_009_SO,CH_011_SO,CH_012_OW,CH_014_LU,CH_015_VS,CH_016_VS,CH_017_VS,CH_018_VS,CH_020_VD,CH_021_VD,CH_022_VD,CH_023_SG,CH_025_SG,CH_026_SG,CH_027_SG,CH_028_SG,CH_032_AG,CH_033_AG,CH_034_AG,CH_035_AG,CH_036_AG,CH_039_AG,CH_040_ZH,CH_041_ZH,CH_042_ZH,CH_043_ZH,CH_044_ZH,CH_045_ZH,CH_046_ZH,CH_047_ZH,CH_048_ZH,CH_049_ZH,CH_050_ZH,CH_054_FR,CH_056_BE,CH_058_BE,CH_059_BE,CH_060_BE,CH_062_BE,CH_063_BE,CH_065_ZH,CH_066_ZH,CH_067_BL,CH_068_JU,CH_069_JU,CH_070_TG,CH_071_TG,CH_072_TG,CH_073_TG,CH_074_NW,CH_075_ZG,CH_076_ZG,CH_079_AG,CH_084_JU,CH_085_NE,CH_086_GE,CH_087_JU,CH_088_JU,CH_089_SO,CH_091_GR,CH_092_BE,CH_093_LU,CH_094_BE,CH_095_GR,CH_098_TI,CH_099_TI,CH_100_SZ,CH_101_UR,CH_106_BE,CH_107_FR,CH_111_AG,CH_114_BE,CH_115_AI,CH_116_LU,CH_119_NE,CH_123_TI,CH_126_VD,CH_127_VD,CH_128_VD,CH_129_VD,CH_130_VD,CH_131_VD,CH_132_VD,CH_133_BE,CH_134_BE,CH_135_AR,CH_136_AG,CH_137_AG,CH_138_BE,CH_139_BE,CH_140_FR,CH_141_JU,CH_143_SG,CH_144_SG,CH_145_SH,CH_146_SH,CH_147_TG,CH_148_TG,CH_149_TI,CH_150_VD,CH_151_VD,CH_152_VS,CH_153_NE,CH_154_LU
PORIFERA,PORIFERA,PORIFERA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNIDARIA,CNIDARIA,CNIDARIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BRYOZOA,BRYOZOA,BRYOZOA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLATYHELMINTHES,PLATYHELMINTHES,Dendrocoelidae,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PLATYHELMINTHES,PLATYHELMINTHES,Dugesiidae,0,0,9,12,0,17,0,0,0,0,17,0,0,0,0,0,0,0,11,0,1,0,2,2,3,0,0,0,1,0,0,11,0,0,0,2,0,0,0,0,135,2,0,1,0,7,1,1,3,0,0,0,3,0,5,1,0,0,7,7,3,12,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,12,0,33,0,0,0,0,30,0,0,0,0,0,0,13,0,0,7,2,0,0,4,0,0,0,0,0
PLATYHELMINTHES,PLATYHELMINTHES,Planariidae,0,1,14,0,0,10,4,1,0,0,4,3,0,0,0,0,0,1,0,0,12,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,3,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,89,70,0,22,0,1,1,0,1,0,5,0,0,0,1,33,4,0,3,0,0,0,0,0,0,0,3,51,14,1
NEMATHELMINTHES,NEMATHELMINTHES,NEMATHELMINTHES,0,0,3,0,0,1,0,0,0,1,0,0,0,1,2,3,0,2,2,0,6,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,11,12,26,2,0,0,0,1,5,10,1,0,0,0,6,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,60,0,1,1,1,0,0,0,2,0
ANNELIDA,Hirudinea,Erpobdellidae,3,3,2,0,0,3,0,0,0,0,8,0,0,0,1,4,1,9,0,0,2,0,0,1,0,1,4,13,0,3,21,4,18,1,24,1,0,10,0,0,0,2,0,0,2,4,0,1,8,28,3,0,0,2,1,23,0,0,22,4,20,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,5,0,18,0,0,4,1,14,0,1,4,0,0,0,3,0,3
ANNELIDA,Hirudinea,Glossiphoniidae,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,1,0,0,0,3,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,23,0,0
ANNELIDA,Hirudinea,Hirudidae (Tachet),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANNELIDA,Hirudinea,Piscicolidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
ANNELIDA,Oligochaeta,Oligochaeta,23,100,150,227,6,90,3,7,36,23,101,295,22,540,288,25,100,60,270,575,372,5,90,925,8,7,18,34,3,5,32,17,5,44,0,583,1,12,14,35,70,85,4,7,20,180,60,1000,75,700,1500,1,82,140,1015,460,175,35,350,100,608,400,9,8,18,1,75,60,100,0,45,15,9,11,103,16,40,0,26,240,276,486,31,231,16,63,220,19,17,20,256,512,24,1000,766,93,600,175,160,2296,952,88,91,101,531,9
MOLLUSCA,Gastropoda,Acroloxidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOLLUSCA,Gastropoda,Ancylidae (Tachet),5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,4,1,9,0,3,6,0,2,0,0,0,0,0,1,0,1,0,3,0,4,0,0,0,0,0,2,0,2,7,35,0,2,0,9,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,3
MOLLUSCA,Gastropoda,Bithyniidae,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0
MOLLUSCA,Gastropoda,Ferrissiidae (Tachet),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOLLUSCA,Gastropoda,Hydrobiidae,5,7,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,19,4,565,0,0,11,3,2,3,0,0,0,2,10,0,4,3,0,0,0,0,0,2,0,0,0,9,0,0,225,18,74,8,0,11,1,450,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,1,3,0,3,14,0,0,0,0,0,0
MOLLUSCA,Gastropoda,Lymnaeidae,2,3,2,2,0,1,0,0,0,0,11,0,0,0,0,0,4,1,1,1,1,6,4,1,1,0,0,2,1,1,0,5,5,0,3,3,0,4,5,0,12,0,0,41,0,9,6,2,16,24,0,0,0,0,2,47,26,0,3,0,0,0,0,1,8,0,0,0,4,0,0,0,0,0,0,0,2,0,6,4,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,4,50,2,1,0,0,0,1,0,0
MOLLUSCA,Gastropoda,Neritidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOLLUSCA,Gastropoda,Physidae,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0
MOLLUSCA,Gastropoda,Planorbidae,0,0,3,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
MOLLUSCA,Gastropoda,Valvatidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,43,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MOLLUSCA,Gastropoda,Viviparidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOLLUSCA,Bivalvia,Corbiculidae*,0,0,0,0,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOLLUSCA,Bivalvia,Dreissenidae*,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOLLUSCA,Bivalvia,Sphaeriidae,1,1,22,0,0,12,0,0,0,0,5,7,0,0,1,0,0,0,31,13,32,5,1,15,1,7,2,15,2,11,49,13,2,2,1,8,0,1,11,0,10,11,0,0,6,0,8,1,11,6,5,0,1,1,19,39,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,2,19,0,0,0,0,0,0,13,0,0,1,1,16,5,12,3,1,32,10,15,1,0,9,17,29,0,0
MOLLUSCA,Bivalvia,Unionidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Arachnida (Inf.-Cl.) Acari,Hydracarina,10,24,21,35,0,1,1,0,0,1,7,0,1,1,5,37,75,8,93,5,41,2,12,15,0,4,0,0,0,0,0,1,0,0,0,5,0,4,26,38,1,6,0,0,18,20,45,175,200,75,14,0,2,13,6,470,291,3,15,8,7,22,2,4,52,1,33,56,11,5,5,92,2,2,59,16,21,52,2,14,3,6,0,5,2,11,0,1,10,23,0,0,1,5,36,71,120,14,43,54,16,10,0,42,1,3
ARTHROPODA,Branchiopoda,Branchiopoda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
ARTHROPODA,Amphipoda,Corophiidae*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Amphipoda,Gammaridae,903,400,1500,190,0,0,0,0,25,5,776,245,8,0,0,0,0,0,275,50,124,220,1,198,49,120,51,135,6,0,21,0,0,8,12,504,0,2284,590,2,6800,670,8,7,30,470,190,0,0,120,45,14,50,50,14,360,107,65,1400,160,1436,500,7,16,1284,0,0,0,46,0,306,48,460,10,8,506,4355,0,15,74,501,597,207,0,5,14,1700,0,210,20,841,1497,970,320,4,133,0,0,336,35,24,147,261,32,50,910
ARTHROPODA,Amphipoda,Niphargidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Isopoda,Asellidae,6,3,38,0,1,100,0,0,0,0,11,27,35,0,0,0,0,3,2,0,3,0,15,0,3,5,1,3,22,1,49,1,0,2,0,0,0,0,1,0,0,2,0,0,5,4,0,2,3,3,8,0,3,3,0,7,0,0,10,3,66,0,0,1,0,0,0,0,2,0,0,0,1,0,0,6,2,0,0,47,0,0,0,0,0,0,0,0,14,1,1,0,0,0,98,20,15,0,7,10,5,0,0,10,0,9
ARTHROPODA,Isopoda,Janiridae*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Mysida,Mysidae*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Decapoda,Astacidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Decapoda,Cambaridae*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Ephemeroptera,Ameletidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTHROPODA,Ephemeroptera,Baetidae ,51,48,178,275,14,794,390,118,57,392,238,45,466,822,421,513,296,785,43,55,238,837,174,117,2,75,16,117,0,16,93,21,81,33,86,188,150,106,61,264,115,34,164,59,52,815,368,116,234,76,0,173,270,236,233,262,119,20,444,167,200,256,124,137,440,54,57,155,399,167,317,276,135,120,268,153,150,215,520,31,728,234,73,70,187,404,768,233,1260,761,81,14,68,63,172,91,8,102,7,96,78,666,32,0,5,300
ARTHROPODA,Ephemeroptera,Caenidae,9,6,36,0,2,2,0,0,0,0,1,0,42,1,20,692,2,110,0,0,0,0,442,0,0,46,6,3,0,0,14,66,0,0,200,0,0,0,6,0,0,0,0,2,2,13,0,1480,27,432,0,0,4,0,0,477,0,0,0,40,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706,0,0,27,1,1,0,0,0,0
ARTHROPODA,Ephemeroptera,Ephemerellidae,0,0,3,76,4,40,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,1,1,3,0,12,0,12,0,2,0,0,0,11,0,0,0,59,0,3,32,0,3,0,4,66,169,8,0,1,0,0,6,1,21,87,0,0,81,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,212,0,0,0,0,0,0,16,0,0,3,0,0,0,4,0,0,2,0,0,0,26,5,0,0,0,23
ARTHROPODA,Ephemeroptera,Ephemeridae,2,16,0,24,0,0,0,0,0,0,0,0,1,0,0,1,2,0,11,0,0,0,2,0,0,8,5,1,0,0,0,2,0,0,0,0,0,0,2,15,0,0,0,25,0,8,110,1,21,11,0,0,0,5,0,12,12,0,24,21,1,0,0,7,0,0,0,0,0,0,8,5,2,2,0,4,0,0,11,0,1,0,0,0,0,0,1,0,1,0,0,0,0,45,0,0,0,2,0,0,0,152,0,0,0,1
ARTHROPODA,Ephemeroptera,Heptageniidae,8,37,0,69,0,22,6,1,0,0,0,0,0,0,120,324,316,40,4,0,0,0,5,0,0,2,0,16,0,2,0,0,5,0,20,4,16,10,19,142,1,6,65,15,0,241,123,0,1,36,0,17,2,12,0,0,81,5,88,4,1,108,64,246,19,32,8,294,144,10,25,254,32,151,72,6,0,195,1,1,10,27,23,27,2,26,173,74,0,261,8,0,17,236,0,0,0,0,0,11,4,66,12,0,0,12
