site_code,description,lu_prop
CH_002_BS,Urban,0.35126807300308127
CH_002_BS,Agriculture,0.27115430196729084
CH_002_BS,Forest,0.3775776250296279
CH_007_BE,Urban,0.14331210191082802
CH_007_BE,Agriculture,0.5980184005661713
CH_007_BE,Forest,0.2586694975230007
CH_009_SO,Urban,0.08364466583644665
CH_009_SO,Agriculture,0.6174761311747613
CH_009_SO,Forest,0.298879202988792
CH_011_SO,Urban,0.05470830307431614
CH_011_SO,Agriculture,0.3982086661825224
CH_011_SO,Forest,0.5470830307431614
CH_012_OW,Urban,0.07831441216086203
CH_012_OW,Agriculture,0.4698864729651722
CH_012_OW,Forest,0.45179911487396573
CH_014_LU,Urban,0.3629723275740975
CH_014_LU,Agriculture,0.3190054782975137
CH_014_LU,Forest,0.31802219412838884
CH_015_VS,Urban,0.07858910891089109
CH_015_VS,Agriculture,0.3432343234323432
CH_015_VS,Forest,0.5781765676567657
CH_016_VS,Urban,0.05316834375849878
CH_016_VS,Agriculture,0.2805276040250204
CH_016_VS,Forest,0.6663040522164808
CH_017_VS,Urban,0.17510330578512398
CH_017_VS,Agriculture,0.29611865407319954
CH_017_VS,Forest,0.5287780401416765
CH_018_VS,Urban,0.06998787611594842
CH_018_VS,Agriculture,0.1778904441750248
CH_018_VS,Forest,0.7521216797090268
CH_020_VD,Urban,0.18055555555555555
CH_020_VD,Agriculture,0.6773023023023023
CH_020_VD,Forest,0.14214214214214213
CH_021_VD,Urban,0.3008130081300813
CH_021_VD,Agriculture,0.6527293844367015
CH_021_VD,Forest,0.04645760743321719
CH_022_VD,Urban,0.22549019607843138
CH_022_VD,Agriculture,0.6996904024767802
CH_022_VD,Forest,0.07481940144478844
CH_023_SG,Urban,0.39861111111111114
CH_023_SG,Agriculture,0.3560185185185185
CH_023_SG,Forest,0.24537037037037038
CH_025_SG,Urban,0.21082579515611322
CH_025_SG,Agriculture,0.48322147651006714
CH_025_SG,Forest,0.30595272833381965
CH_026_SG,Urban,0.16635213531837562
CH_026_SG,Agriculture,0.5870552876214441
CH_026_SG,Forest,0.24659257706018034
CH_027_SG,Urban,0.06531610199091861
CH_027_SG,Agriculture,0.5216556060076842
CH_027_SG,Forest,0.4130282920013971
CH_028_SG,Urban,0.17854558610709118
CH_028_SG,Agriculture,0.5625904486251809
CH_028_SG,Forest,0.2588639652677279
CH_032_AG,Urban,0.11523116639286553
CH_032_AG,Agriculture,0.3938042712978174
CH_032_AG,Forest,0.49096456230931707
CH_033_AG,Urban,0.1456400742115028
CH_033_AG,Agriculture,0.40282931354359924
CH_033_AG,Forest,0.45153061224489793
CH_034_AG,Urban,0.264622641509434
CH_034_AG,Agriculture,0.42900943396226415
CH_034_AG,Forest,0.30636792452830186
CH_035_AG,Urban,0.126322471434617
CH_035_AG,Agriculture,0.5120609394837071
CH_035_AG,Forest,0.3616165890816758
CH_036_AG,Urban,0.12840279450734762
CH_036_AG,Agriculture,0.5252951096121417
CH_036_AG,Forest,0.3463020958805107
CH_039_AG,Urban,0.24787115883006294
CH_039_AG,Agriculture,0.3798593113661607
CH_039_AG,Forest,0.37226952980377637
CH_040_ZH,Urban,0.6657035175879397
CH_040_ZH,Agriculture,0.09459798994974875
CH_040_ZH,Forest,0.23969849246231156
CH_041_ZH,Urban,0.18940900054220133
CH_041_ZH,Agriculture,0.4409904211097054
CH_041_ZH,Forest,0.36960057834809323
CH_042_ZH,Urban,0.4596100278551532
CH_042_ZH,Agriculture,0.17111022682053323
CH_042_ZH,Forest,0.36927974532431357
CH_043_ZH,Urban,0.2308026658939438
CH_043_ZH,Agriculture,0.5056505360764996
CH_043_ZH,Forest,0.26354679802955666
CH_044_ZH,Urban,0.2768931351733899
CH_044_ZH,Agriculture,0.48177636234961074
CH_044_ZH,Forest,0.2413305024769993
CH_045_ZH,Urban,0.20649803750545137
CH_045_ZH,Agriculture,0.623637156563454
CH_045_ZH,Forest,0.16986480593109463
CH_046_ZH,Urban,0.3825191093386507
CH_046_ZH,Agriculture,0.4273845131272848
CH_046_ZH,Forest,0.19009637753406447
CH_047_ZH,Urban,0.21888094651220114
CH_047_ZH,Agriculture,0.4187823514912497
CH_047_ZH,Forest,0.36233670199654916
CH_048_ZH,Urban,0.2125620400479206
CH_048_ZH,Agriculture,0.5310628102002396
CH_048_ZH,Forest,0.2563751497518398
CH_049_ZH,Urban,0.29277464410421705
CH_049_ZH,Agriculture,0.40128928283642223
CH_049_ZH,Forest,0.3059360730593607
CH_050_ZH,Urban,0.1001100110011001
CH_050_ZH,Agriculture,0.6113468489706113
CH_050_ZH,Forest,0.28854314002828857
CH_054_FR,Urban,0.2033946251768034
CH_054_FR,Agriculture,0.6630834512022631
CH_054_FR,Forest,0.1335219236209335
CH_058_BE,Urban,0.10432519022827393
CH_058_BE,Agriculture,0.5420504605526631
CH_058_BE,Forest,0.3536243492190629
CH_059_BE,Urban,0.15319148936170213
CH_059_BE,Agriculture,0.6573049645390071
CH_059_BE,Forest,0.1895035460992908
CH_060_BE,Urban,0.0725912067352666
CH_060_BE,Agriculture,0.6662301216089803
CH_060_BE,Forest,0.26117867165575304
CH_063_BE,Urban,0.15965439519158528
CH_063_BE,Agriculture,0.4496619083395943
CH_063_BE,Forest,0.39068369646882045
CH_066_ZH,Urban,0.0911863862578263
CH_066_ZH,Agriculture,0.3746989886017017
CH_066_ZH,Forest,0.534114625140472
CH_067_BL,Urban,0.22382219439661918
CH_067_BL,Agriculture,0.3022382219439662
CH_067_BL,Forest,0.47393958365941463
CH_068_JU,Urban,0.12248750694058856
CH_068_JU,Agriculture,0.432870627429206
CH_068_JU,Forest,0.44464186563020547
CH_069_JU,Urban,0.037283621837549935
CH_069_JU,Agriculture,0.44991862701583074
CH_069_JU,Forest,0.5127977511466193
CH_070_TG,Urban,0.1788218793828892
CH_070_TG,Agriculture,0.5746143057503507
CH_070_TG,Forest,0.24656381486676016
CH_071_TG,Urban,0.11403678606001937
CH_071_TG,Agriculture,0.65324298160697
CH_071_TG,Forest,0.23272023233301065
CH_072_TG,Urban,0.07733491969066032
CH_072_TG,Agriculture,0.6864961332540155
CH_072_TG,Forest,0.2361689470553242
CH_074_NW,Urban,0.04357197844495766
CH_074_NW,Agriculture,0.5074672825250193
CH_074_NW,Forest,0.4489607390300231
CH_075_ZG,Urban,0.35682210708117446
CH_075_ZG,Agriculture,0.5207253886010362
CH_075_ZG,Forest,0.1224525043177893
CH_076_ZG,Urban,0.14015697581291045
CH_076_ZG,Agriculture,0.5362806343104277
CH_076_ZG,Forest,0.32356238987666186
CH_079_AG,Urban,0.2471389645776567
CH_079_AG,Agriculture,0.4376021798365123
CH_079_AG,Forest,0.31525885558583105
CH_084_JU,Urban,0.1001527754201324
CH_084_JU,Agriculture,0.408928874554405
CH_084_JU,Forest,0.4909183500254626
CH_085_NE,Urban,0.05801671133533028
CH_085_NE,Agriculture,0.42282831467759735
CH_085_NE,Forest,0.5191549739870723
CH_087_JU,Urban,0.10344827586206896
CH_087_JU,Agriculture,0.46208243534482757
CH_087_JU,Forest,0.4344692887931034
CH_088_JU,Urban,0.033661006851355375
CH_088_JU,Agriculture,0.4517922748485751
CH_088_JU,Forest,0.5145467183000695
CH_089_SO,Urban,0.2012964858410099
CH_089_SO,Agriculture,0.3778573865574889
CH_089_SO,Forest,0.4208461276015012
CH_091_GR,Urban,0.042473193148586545
CH_091_GR,Agriculture,0.6350090516641136
CH_091_GR,Forest,0.3225177551872998
CH_092_BE,Urban,0.0756638777737359
CH_092_BE,Agriculture,0.5107311749727174
CH_092_BE,Forest,0.41360494725354674
CH_093_LU,Urban,0.1176965819161475
CH_093_LU,Agriculture,0.4702811921198855
CH_093_LU,Forest,0.412022225963967
CH_094_BE,Urban,0.12890995260663507
CH_094_BE,Agriculture,0.3052132701421801
CH_094_BE,Forest,0.5658767772511848
CH_095_GR,Urban,0.034380250743182114
CH_095_GR,Agriculture,0.4389944422902934
CH_095_GR,Forest,0.5266253069665245
CH_098_TI,Urban,0.0703963666391412
CH_098_TI,Agriculture,0.0629644921552436
CH_098_TI,Forest,0.8666391412056152
CH_099_TI,Urban,0.06922822126531965
CH_099_TI,Agriculture,0.10643701004747709
CH_099_TI,Forest,0.8243347686872032
CH_100_SZ,Urban,0.08605564374634472
CH_100_SZ,Agriculture,0.5185061408638985
CH_100_SZ,Forest,0.3954382153897569
CH_101_UR,Urban,0.06554472984942426
CH_101_UR,Agriculture,0.41373880523570516
CH_101_UR,Forest,0.5207164649148706
CH_106_BE,Urban,0.11628865979381443
CH_106_BE,Agriculture,0.5779381443298969
CH_106_BE,Forest,0.30577319587628865
CH_111_AG,Urban,0.18516930990141447
CH_111_AG,Agriculture,0.45627946849549933
CH_111_AG,Forest,0.35855122160308617
CH_114_BE,Urban,0.0646710421002081
CH_114_BE,Agriculture,0.55450616295822
CH_114_BE,Forest,0.38082279494157195
CH_119_NE,Urban,0.08901111235828937
CH_119_NE,Agriculture,0.5344034122797171
CH_119_NE,Forest,0.3765854753619935
CH_123_TI,Urban,0.01723280861640431
CH_123_TI,Agriculture,0.11996685998342999
CH_123_TI,Forest,0.8628003314001657
CH_126_VD,Urban,0.07835820895522388
CH_126_VD,Agriculture,0.6673212882953653
CH_126_VD,Forest,0.2543205027494108
CH_127_VD,Urban,0.13661027768911585
CH_127_VD,Agriculture,0.7436961378870093
CH_127_VD,Forest,0.11969358442387489
CH_128_VD,Urban,0.1507321274763135
CH_128_VD,Agriculture,0.4384151593453919
CH_128_VD,Forest,0.4108527131782946
CH_129_VD,Urban,0.09773502947564382
CH_129_VD,Agriculture,0.6214706794911573
CH_129_VD,Forest,0.28079429103319886
CH_130_VD,Urban,0.11614790056402757
CH_130_VD,Agriculture,0.5913933570085649
CH_130_VD,Forest,0.29245874242740755
CH_131_VD,Urban,0.15052790346907993
CH_131_VD,Agriculture,0.38552036199095024
CH_131_VD,Forest,0.46395173453996985
CH_132_VD,Urban,0.0675705712380529
CH_132_VD,Agriculture,0.3025116692598355
CH_132_VD,Forest,0.6299177595021116
CH_133_BE,Urban,0.038237738985868665
CH_133_BE,Agriculture,0.5555901911886949
CH_133_BE,Forest,0.4061720698254364
CH_134_BE,Urban,0.0669162377164249
CH_134_BE,Agriculture,0.3248479176415536
CH_134_BE,Forest,0.6082358446420215
CH_135_AR,Urban,0.07326654881162836
CH_135_AR,Agriculture,0.6639167157729327
CH_135_AR,Forest,0.262816735415439
CH_136_AG,Urban,0.18032786885245902
CH_136_AG,Agriculture,0.6086065573770492
CH_136_AG,Forest,0.21106557377049182
CH_137_AG,Urban,0.07277526395173455
CH_137_AG,Agriculture,0.5346907993966817
CH_137_AG,Forest,0.3925339366515837
CH_140_FR,Urban,0.08819133034379671
CH_140_FR,Agriculture,0.828101644245142
CH_140_FR,Forest,0.08370702541106129
CH_143_SG,Urban,0.3191489361702128
CH_143_SG,Agriculture,0.6430260047281324
CH_143_SG,Forest,0.037825059101654845
CH_145_SH,Urban,0.11287700921076395
CH_145_SH,Agriculture,0.6573957016434893
CH_145_SH,Forest,0.2297272891457468
CH_146_SH,Urban,0.053763440860215055
CH_146_SH,Agriculture,0.4897360703812317
CH_146_SH,Forest,0.45650048875855326
CH_148_TG,Urban,0.14938044974759063
CH_148_TG,Agriculture,0.6369894446994034
CH_148_TG,Forest,0.21363010555300596
CH_149_TI,Urban,0.27861715749039695
CH_149_TI,Agriculture,0.11241997439180537
CH_149_TI,Forest,0.6089628681177977
CH_150_VD,Urban,0.06793802145411204
CH_150_VD,Agriculture,0.6674612634088201
CH_150_VD,Forest,0.26460071513706795
CH_151_VD,Urban,0.07012622720897616
CH_151_VD,Agriculture,0.4067321178120617
CH_151_VD,Forest,0.5231416549789621
CH_152_VS,Urban,0.3242009132420091
CH_152_VS,Agriculture,0.4764079147640791
CH_152_VS,Forest,0.1993911719939117
CH_154_LU,Urban,0.14743589743589744
CH_154_LU,Agriculture,0.7222222222222222
CH_154_LU,Forest,0.13034188034188035
Spez_001_AG,Urban,0.05821078431372549
Spez_001_AG,Agriculture,0.3946078431372549
Spez_001_AG,Forest,0.5471813725490197
Spez_002_AG,Urban,0.05993690851735016
Spez_002_AG,Agriculture,0.5662460567823344
Spez_002_AG,Forest,0.37381703470031546
Spez_003_AG,Urban,0.038112522686025406
Spez_003_AG,Agriculture,0.25226860254083483
Spez_003_AG,Forest,0.7096188747731398
Spez_004_AG,Urban,0.04831932773109244
Spez_004_AG,Agriculture,0.49159663865546216
Spez_004_AG,Forest,0.46008403361344535
Spez_005_AG,Urban,0.18032786885245902
Spez_005_AG,Agriculture,0.6086065573770492
Spez_005_AG,Forest,0.21106557377049182
Spez_006_AG,Urban,0.1412894375857339
Spez_006_AG,Agriculture,0.39643347050754457
Spez_006_AG,Forest,0.46227709190672156
Spez_007_AG,Urban,0.14520547945205478
Spez_007_AG,Agriculture,0.7534246575342466
Spez_007_AG,Forest,0.10136986301369863
Spez_008_AI,Urban,0.0392156862745098
Spez_008_AI,Agriculture,0.8366013071895425
Spez_008_AI,Forest,0.12418300653594772
Spez_009_AI,Urban,0.021653543307086614
Spez_009_AI,Agriculture,0.6112204724409449
Spez_009_AI,Forest,0.3671259842519685
Spez_010_AR,Urban,0.07096774193548387
Spez_010_AR,Agriculture,0.6419354838709678
Spez_010_AR,Forest,0.2870967741935484
Spez_011_AR,Urban,0.029154518950437316
Spez_011_AR,Agriculture,0.7084548104956269
Spez_011_AR,Forest,0.26239067055393583
Spez_012_BE,Urban,0.01637107776261937
Spez_012_BE,Agriculture,0.2673942701227831
Spez_012_BE,Forest,0.7162346521145976
Spez_013_BE,Urban,0.23458863036699448
Spez_013_BE,Agriculture,0.4547053649956025
Spez_013_BE,Forest,0.31070600463740305
Spez_014_BE,Urban,0.0533596837944664
Spez_014_BE,Agriculture,0.7391304347826086
Spez_014_BE,Forest,0.2075098814229249
Spez_015_BE,Urban,0.06017191977077364
Spez_015_BE,Agriculture,0.5845272206303725
Spez_015_BE,Forest,0.3553008595988539
Spez_016_BE,Urban,0.10995154677599701
Spez_016_BE,Agriculture,0.48788669399925455
Spez_016_BE,Forest,0.4021617592247484
Spez_017_BE,Urban,0.08695652173913043
Spez_017_BE,Agriculture,0.7391304347826086
Spez_017_BE,Forest,0.17391304347826086
Spez_018_BE,Urban,0.14035087719298245
Spez_018_BE,Agriculture,0.7251461988304093
Spez_018_BE,Forest,0.13450292397660818
Spez_019_BE,Urban,0.09907834101382489
Spez_019_BE,Agriculture,0.7304147465437788
Spez_019_BE,Forest,0.17050691244239632
Spez_020_BE,Urban,0.06200317965023847
Spez_020_BE,Agriculture,0.2893481717011129
Spez_020_BE,Forest,0.6486486486486487
Spez_021_BE,Urban,0.016556291390728478
Spez_021_BE,Agriculture,0.24503311258278146
Spez_021_BE,Forest,0.7384105960264901
Spez_022_BE,Urban,0.019520851818988466
Spez_022_BE,Agriculture,0.7231588287488908
Spez_022_BE,Forest,0.2573203194321207
Spez_023_BE,Urban,0.052868391451068614
Spez_023_BE,Agriculture,0.7919010123734533
Spez_023_BE,Forest,0.15523059617547807
Spez_024_BL,Urban,0.20863309352517986
Spez_024_BL,Agriculture,0.7841726618705036
Spez_024_BL,Forest,0.007194244604316547
Spez_025_BL,Urban,0.12955465587044535
Spez_025_BL,Agriculture,0.45479082321187586
Spez_025_BL,Forest,0.4156545209176788
Spez_026_BS,Urban,0.2710843373493976
Spez_026_BS,Agriculture,0.3674698795180723
Spez_026_BS,Forest,0.3614457831325301
Spez_027_FR,Urban,0.053475935828877004
Spez_027_FR,Agriculture,0.8422459893048129
Spez_027_FR,Forest,0.10427807486631016
Spez_028_FR,Urban,0.09387755102040816
Spez_028_FR,Agriculture,0.7693877551020408
Spez_028_FR,Forest,0.13673469387755102
Spez_029_FR,Urban,0.16522893165228933
Spez_029_FR,Agriculture,0.6556071665560717
Spez_029_FR,Forest,0.17916390179163902
Spez_030_FR,Urban,0.03
Spez_030_FR,Agriculture,0.16333333333333333
Spez_030_FR,Forest,0.8066666666666666
Spez_031_FR,Urban,0.06451612903225806
Spez_031_FR,Agriculture,0.7146401985111662
Spez_031_FR,Forest,0.22084367245657568
Spez_032_FR,Urban,0.14656290531776914
Spez_032_FR,Agriculture,0.5849546044098574
Spez_032_FR,Forest,0.26848249027237353
Spez_033_FR,Urban,0.14355828220858896
Spez_033_FR,Agriculture,0.6269938650306749
Spez_033_FR,Forest,0.2294478527607362
Spez_034_GE,Urban,0.088659793814433
Spez_034_GE,Agriculture,0.2020618556701031
Spez_034_GE,Forest,0.709278350515464
Spez_035_GE,Urban,0.1507537688442211
Spez_035_GE,Agriculture,0.7336683417085427
Spez_035_GE,Forest,0.11557788944723618
Spez_036_GL,Urban,0.13015873015873017
Spez_036_GL,Agriculture,0.8666666666666667
Spez_036_GL,Forest,0.0031746031746031746
Spez_037_GL,Urban,0.06845238095238096
Spez_037_GL,Agriculture,0.41964285714285715
Spez_037_GL,Forest,0.5119047619047619
Spez_038_GR,Urban,0.0748502994011976
Spez_038_GR,Agriculture,0.4341317365269461
Spez_038_GR,Forest,0.49101796407185627
Spez_039_GR,Urban,0.04329004329004329
Spez_039_GR,Agriculture,0.3225108225108225
Spez_039_GR,Forest,0.6341991341991342
Spez_040_GR,Urban,0.1134020618556701
Spez_040_GR,Agriculture,0.3261480787253983
Spez_040_GR,Forest,0.5604498594189316
Spez_041_GR,Urban,0.033854166666666664
Spez_041_GR,Agriculture,0.6588541666666666
Spez_041_GR,Forest,0.3072916666666667
Spez_042_GR,Urban,0.018722466960352423
Spez_042_GR,Agriculture,0.8116740088105727
Spez_042_GR,Forest,0.1696035242290749
Spez_043_JU,Urban,0.0670611439842209
Spez_043_JU,Agriculture,0.621301775147929
Spez_043_JU,Forest,0.3116370808678501
Spez_044_JU,Urban,0.0506108202443281
Spez_044_JU,Agriculture,0.3830715532286213
Spez_044_JU,Forest,0.5663176265270506
Spez_045_JU,Urban,0.04394481349003577
Spez_045_JU,Agriculture,0.46959632089933573
Spez_045_JU,Forest,0.4864588656106285
Spez_046_LU,Urban,0.1625
Spez_046_LU,Agriculture,0.69
Spez_046_LU,Forest,0.1475
Spez_047_LU,Urban,0.04903078677309008
Spez_047_LU,Agriculture,0.8038768529076397
Spez_047_LU,Forest,0.14709236031927023
Spez_048_LU,Urban,0.3862295081967213
Spez_048_LU,Agriculture,0.4059016393442623
Spez_048_LU,Forest,0.2078688524590164
Spez_049_LU,Urban,0.12335526315789473
Spez_049_LU,Agriculture,0.75
Spez_049_LU,Forest,0.12664473684210525
Spez_050_LU,Urban,0.12596153846153846
Spez_050_LU,Agriculture,0.7307692307692307
Spez_050_LU,Forest,0.14326923076923076
Spez_051_LU,Urban,0.2523461939520334
Spez_051_LU,Agriculture,0.4035453597497393
Spez_051_LU,Forest,0.34410844629822734
Spez_052_NE,Urban,0.05480787985176516
Spez_052_NE,Agriculture,0.5034133021259997
Spez_052_NE,Forest,0.44177881802223523
Spez_053_NE,Urban,0.04521276595744681
Spez_053_NE,Agriculture,0.6382978723404256
Spez_053_NE,Forest,0.31648936170212766
Spez_054_NW,Urban,0.08130081300813008
Spez_054_NW,Agriculture,0.5121951219512195
Spez_054_NW,Forest,0.4065040650406504
Spez_055_OW,Urban,0.003367003367003367
Spez_055_OW,Agriculture,0.2222222222222222
Spez_055_OW,Forest,0.7744107744107744
Spez_056_OW,Urban,0.06719367588932806
Spez_056_OW,Agriculture,0.4841897233201581
Spez_056_OW,Forest,0.44861660079051385
Spez_057_SG,Urban,0.3191489361702128
Spez_057_SG,Agriculture,0.6430260047281324
Spez_057_SG,Forest,0.037825059101654845
Spez_058_SG,Urban,0.06768558951965066
Spez_058_SG,Agriculture,0.9017467248908297
Spez_058_SG,Forest,0.03056768558951965
Spez_059_SG,Urban,0.14705882352941177
Spez_059_SG,Agriculture,0.638235294117647
Spez_059_SG,Forest,0.21470588235294116
Spez_060_SG,Urban,0.06005586592178771
Spez_060_SG,Agriculture,0.5384078212290503
Spez_060_SG,Forest,0.401536312849162
Spez_061_SG,Urban,0.07407407407407407
Spez_061_SG,Agriculture,0.7901234567901234
Spez_061_SG,Forest,0.13580246913580246
Spez_062_SH,Urban,0.09587513935340022
Spez_062_SH,Agriculture,0.6878483835005574
Spez_062_SH,Forest,0.21627647714604237
Spez_063_SH,Urban,0.005847953216374269
Spez_063_SH,Agriculture,0.1286549707602339
Spez_063_SH,Forest,0.8654970760233918
Spez_064_SH,Urban,0.14075067024128687
Spez_064_SH,Agriculture,0.8418230563002681
Spez_064_SH,Forest,0.01742627345844504
Spez_065_SO,Urban,0.10570469798657718
Spez_065_SO,Agriculture,0.20973154362416108
Spez_065_SO,Forest,0.6845637583892618
Spez_066_SO,Urban,0.13196480938416422
Spez_066_SO,Agriculture,0.4916911045943304
Spez_066_SO,Forest,0.3763440860215054
Spez_067_SO,Urban,0.02435897435897436
Spez_067_SO,Agriculture,0.5461538461538461
Spez_067_SO,Forest,0.42948717948717946
Spez_068_SZ,Urban,0.11452513966480447
Spez_068_SZ,Agriculture,0.5391061452513967
Spez_068_SZ,Forest,0.3463687150837989
Spez_069_SZ,Urban,0.016129032258064516
Spez_069_SZ,Agriculture,0.4274193548387097
Spez_069_SZ,Forest,0.5564516129032258
Spez_070_TG,Urban,0.07
Spez_070_TG,Agriculture,0.73
Spez_070_TG,Forest,0.2
Spez_071_TG,Urban,0.016853932584269662
Spez_071_TG,Agriculture,0.33707865168539325
Spez_071_TG,Forest,0.6460674157303371
Spez_072_TG,Urban,0.07234042553191489
Spez_072_TG,Agriculture,0.7978723404255319
Spez_072_TG,Forest,0.12978723404255318
Spez_073_TG,Urban,0.06143344709897611
Spez_073_TG,Agriculture,0.44141069397042093
Spez_073_TG,Forest,0.49715585893060293
Spez_074_TI,Urban,0.02516949939630352
Spez_074_TI,Agriculture,0.045509426952725925
Spez_074_TI,Forest,0.9293210736509706
Spez_075_TI,Urban,0.1992818671454219
Spez_075_TI,Agriculture,0.20466786355475763
Spez_075_TI,Forest,0.5960502692998204
Spez_076_TI,Urban,0.2028301886792453
Spez_076_TI,Agriculture,0.5015723270440252
Spez_076_TI,Forest,0.29559748427672955
Spez_077_TI,Urban,0.40522875816993464
Spez_077_TI,Agriculture,0.4019607843137255
Spez_077_TI,Forest,0.19281045751633988
Spez_078_UR,Urban,0.42857142857142855
Spez_078_UR,Agriculture,0.54421768707483
Spez_078_UR,Forest,0.027210884353741496
Spez_079_UR,Urban,0.008241758241758242
Spez_079_UR,Agriculture,0.3269230769230769
Spez_079_UR,Forest,0.6648351648351648
Spez_080_VD,Urban,0.1036036036036036
Spez_080_VD,Agriculture,0.6891891891891891
Spez_080_VD,Forest,0.2072072072072072
Spez_081_VD,Urban,0.0847457627118644
Spez_081_VD,Agriculture,0.7764830508474576
Spez_081_VD,Forest,0.13877118644067796
Spez_082_VD,Urban,0.030303030303030304
Spez_082_VD,Agriculture,0.706060606060606
Spez_082_VD,Forest,0.2636363636363636
Spez_083_VD,Urban,0.07012622720897616
Spez_083_VD,Agriculture,0.4067321178120617
Spez_083_VD,Forest,0.5231416549789621
Spez_084_VD,Urban,0.10762331838565023
Spez_084_VD,Agriculture,0.7869955156950673
Spez_084_VD,Forest,0.10538116591928251
Spez_085_VD,Urban,0.1705374917053749
Spez_085_VD,Agriculture,0.6343729263437292
Spez_085_VD,Forest,0.19508958195089582
Spez_086_VD,Urban,0.25895316804407714
Spez_086_VD,Agriculture,0.6556473829201102
Spez_086_VD,Forest,0.08539944903581267
Spez_087_VD,Urban,0.045454545454545456
Spez_087_VD,Agriculture,0.6538461538461539
Spez_087_VD,Forest,0.3006993006993007
Spez_088_VS,Urban,0.3242009132420091
Spez_088_VS,Agriculture,0.4764079147640791
Spez_088_VS,Forest,0.1993911719939117
Spez_089_VS,Urban,0.0945945945945946
Spez_089_VS,Agriculture,0.30405405405405406
Spez_089_VS,Forest,0.6013513513513513
Spez_090_VS,Urban,0.18565400843881857
Spez_090_VS,Agriculture,0.4388185654008439
Spez_090_VS,Forest,0.3755274261603376
Spez_091_VS,Urban,0.30133333333333334
Spez_091_VS,Agriculture,0.3253333333333333
Spez_091_VS,Forest,0.37333333333333335
Spez_092_VS,Urban,0.07745664739884393
Spez_092_VS,Agriculture,0.27630057803468205
Spez_092_VS,Forest,0.6462427745664739
Spez_093_ZG,Urban,0.12117780294450736
Spez_093_ZG,Agriculture,0.6070215175537939
Spez_093_ZG,Forest,0.2718006795016987
Spez_094_ZG,Urban,0.06018518518518518
Spez_094_ZG,Agriculture,0.4861111111111111
Spez_094_ZG,Forest,0.4537037037037037
Spez_095_ZH,Urban,0.23338824821526633
Spez_095_ZH,Agriculture,0.5485996705107083
Spez_095_ZH,Forest,0.21801208127402527
Spez_096_ZH,Urban,0.07654320987654321
Spez_096_ZH,Agriculture,0.6098765432098765
Spez_096_ZH,Forest,0.3135802469135803
Spez_097_ZH,Urban,0.4419889502762431
Spez_097_ZH,Agriculture,0.30386740331491713
Spez_097_ZH,Forest,0.2541436464088398
Spez_098_ZH,Urban,0.1423841059602649
Spez_098_ZH,Agriculture,0.5165562913907285
Spez_098_ZH,Forest,0.34105960264900664
Spez_099_ZH,Urban,0.2363238512035011
Spez_099_ZH,Agriculture,0.5809628008752735
Spez_099_ZH,Forest,0.18271334792122537
Spez_100_ZH,Urban,0.1728395061728395
Spez_100_ZH,Agriculture,0.08024691358024691
Spez_100_ZH,Forest,0.7469135802469136
